model,epoch,eval_accuracy,eval_f1,eval_precision,eval_recall,true_negatives,false_positives,false_negatives,true_positives
BERT,1.0,0.7402597402597403,0.8076923076923077,0.6774193548387096,1.0,15,20,0,42
BERT,1.0,0.7402597402597403,0.8076923076923077,0.6774193548387096,1.0,15,20,0,42
BERT,2.0,0.974025974025974,0.9761904761904762,0.9761904761904762,0.9761904761904762,34,1,1,41
BERT,1.0,0.7402597402597403,0.8076923076923077,0.6774193548387096,1.0,15,20,0,42
BERT,2.0,0.974025974025974,0.9761904761904762,0.9761904761904762,0.9761904761904762,34,1,1,41
BERT,3.0,0.961038961038961,0.9647058823529412,0.9534883720930233,0.9761904761904762,33,2,1,41
BERT,1.0,0.7402597402597403,0.8076923076923077,0.6774193548387096,1.0,15,20,0,42
BERT,2.0,0.974025974025974,0.9761904761904762,0.9761904761904762,0.9761904761904762,34,1,1,41
BERT,3.0,0.961038961038961,0.9647058823529412,0.9534883720930233,0.9761904761904762,33,2,1,41
BERT,4.0,0.987012987012987,0.9882352941176471,0.9767441860465116,1.0,34,1,0,42
BERT,1.0,0.7402597402597403,0.8076923076923077,0.6774193548387096,1.0,15,20,0,42
BERT,2.0,0.974025974025974,0.9761904761904762,0.9761904761904762,0.9761904761904762,34,1,1,41
BERT,3.0,0.961038961038961,0.9647058823529412,0.9534883720930233,0.9761904761904762,33,2,1,41
BERT,4.0,0.987012987012987,0.9882352941176471,0.9767441860465116,1.0,34,1,0,42
BERT,5.0,0.987012987012987,0.9882352941176471,0.9767441860465116,1.0,34,1,0,42
FinBERT,1.0,0.7272727272727273,0.7640449438202247,0.7555555555555555,0.7727272727272727,22,11,10,34
FinBERT,1.0,0.7272727272727273,0.7640449438202247,0.7555555555555555,0.7727272727272727,22,11,10,34
FinBERT,2.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,1.0,0.7272727272727273,0.7640449438202247,0.7555555555555555,0.7727272727272727,22,11,10,34
FinBERT,2.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,3.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,1.0,0.7272727272727273,0.7640449438202247,0.7555555555555555,0.7727272727272727,22,11,10,34
FinBERT,2.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,3.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,4.0,0.961038961038961,0.9647058823529412,1.0,0.9318181818181818,33,0,3,41
FinBERT,1.0,0.7272727272727273,0.7640449438202247,0.7555555555555555,0.7727272727272727,22,11,10,34
FinBERT,2.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,3.0,0.961038961038961,0.9655172413793104,0.9767441860465116,0.9545454545454546,32,1,2,42
FinBERT,4.0,0.961038961038961,0.9647058823529412,1.0,0.9318181818181818,33,0,3,41
FinBERT,5.0,0.935064935064935,0.9397590361445783,1.0,0.8863636363636364,33,0,5,39
Zero-shot,1.0,0.961038961038961,0.967032967032967,0.9361702127659575,1.0,30,3,0,44
Zero-shot,1.0,0.961038961038961,0.967032967032967,0.9361702127659575,1.0,30,3,0,44
Zero-shot,2.0,0.961038961038961,0.9662921348314607,0.9555555555555556,0.9772727272727273,31,2,1,43
Zero-shot,1.0,0.961038961038961,0.967032967032967,0.9361702127659575,1.0,30,3,0,44
Zero-shot,2.0,0.961038961038961,0.9662921348314607,0.9555555555555556,0.9772727272727273,31,2,1,43
Zero-shot,3.0,0.987012987012987,0.9887640449438202,0.9777777777777777,1.0,32,1,0,44
